id,title,previous_status,rescue_status,message,rescue_class,rescue_wolfram_candidate,canonical_equation,previous_wolfram_candidate
ID10873,Phone2 Category Type Theory Morphisms Cobordisms M 1 M 2 W D+1 W M 1 M 2,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Phone2Relation[Morphisms, ""Cobordisms[(M$1, M$2) -> W^{d+1}: dW == M$1 + MBar2]""]","Morphisms → Cobordisms[(M_1, M_2) ↦ W^{d+1}: ∂W = M_1 ⊔ M̄_2]","Morphisms -> Cobordisms[(M$1, M$2) -> W^{d+1}: dW == M$1 + M̄_2]"
ID10875,Phone2 Category Type Theory SheafCondition F Presheaf F U Lim V Cover U F V,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Phone2Relation[SheafCondition, "": Presheaf, F(U) == lim_{V in Cover(U)} F(V)""]","SheafCondition → ∀F: Presheaf, F(U) ≅ lim_{V∈Cover(U)} F(V)","SheafCondition -> : Presheaf, F(U) == lim_{V∈Cover(U)} F(V)"
ID10878,Phone2 Category Type Theory P M T - M 0 Λ 2 Exp -λ / 2 Sum C I I,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID10878"", <|""canonical"" -> ""P[|M_T - M_0| > λ] <= 2*Exp[-λ²/(2*Sum[c_i², {i}])],"", ""previousCandidate"" -> ""P[|M$T - M$0| > lambda] <= 2*Exp[-lambda^2/(2*Sum[c$i^2, {i}])]"", ""rescueClass"" -> ""equation_candidate""|>]","P[|M_T - M_0| > λ] <= 2*Exp[-λ²/(2*Sum[c_i², {i}])],","P[|M$T - M$0| > lambda] <= 2*Exp[-lambda^2/(2*Sum[c$i^2, {i}])]"
ID10894,Phone2 Category Type Theory Init I Threads Queue I,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,Init == in Threads: queue[i] = EmptyQueue[],"Init == ∀ i ∈ Threads: queue[i] = ⟨⟩,",Init == ∈ Threads: queue[i] = ⟨⟩
ID10895,Phone2 Category Type Theory Next I J Threads Task Tasks,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID10895"", <|""canonical"" -> ""Next == ∃ i,j ∈ Threads, task ∈ Tasks:"", ""previousCandidate"" -> ""Next == j ∈ Threads, task ∈ Tasks:"", ""rescueClass"" -> ""fragment_carrier""|>]","Next == ∃ i,j ∈ Threads, task ∈ Tasks:","Next == j ∈ Threads, task ∈ Tasks:"
ID10901,Phone2 Category Type Theory Objects Thread I I 1,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"Rule[Objects, Phone2Expression[""{Thread[i] | i in {1""]]",Objects → {Thread[i] | i ∈ {1,Objects -> {Thread[i] | i ∈ {1
ID10903,Phone2 Category Type Theory F T C Cores T T T C,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,f[T] == {c in Cores | in T: t SubsetEqual c},"f[T] = {c ∈ Cores | ∃t ∈ T: t ⊆ c},",f[T] == {c ∈ Cores | ∈ T: t ⊆ c}
ID10907,Phone2 Category Type Theory InterferenceFreedom I J Statement S J In C J,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"SetDelayed[InterferenceFreedom, Phone2Predicate[""!= j, s$j in C$j:""]]","InterferenceFreedom := ∀ i ≠ j, ∀ statement s_j in C_j:","InterferenceFreedom := ≠ j, s$j in C$j:"
ID10954,Phone2 Category Type Theory IntraSocket Latency 10ns,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Rule[IntraSocket, Phone2Expression[""Latency[Quantity[10, \""Nanoseconds\""]]""]]","IntraSocket → Latency[~10ns],",IntraSocket -> Latency[~10ns]
ID10955,Phone2 Category Type Theory InterSocket Latency 100ns,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Rule[InterSocket, Phone2Expression[""Latency[Quantity[100, \""Nanoseconds\""]]""]]","InterSocket → Latency[~100ns],",InterSocket -> Latency[~100ns]
ID10956,Phone2 Category Type Theory RemoteMemory Latency 300ns,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Rule[RemoteMemory, Phone2Expression[""Latency[Quantity[300, \""Nanoseconds\""]]""]]",RemoteMemory → Latency[~300ns],RemoteMemory -> Latency[~300ns]
ID10957,Phone2 Category Type Theory X I C X J C Compatible C C I J CommunicatingPairs,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID10957"", <|""canonical"" -> ""x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs"", ""previousCandidate"" -> ""x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs"", ""rescueClass"" -> ""equation_candidate""|>]","x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs","x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs"
ID10971,Phone2 Category Type Theory Tree 2 L+1 K + 2 L,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID10971"", <|""canonical"" -> ""tree[[2^(l+1)*k + 2^l]] ="", ""previousCandidate"" -> ""tree[[2^(l+1)*k + 2^l]] =="", ""rescueClass"" -> ""fragment_carrier""|>]",tree[[2^(l+1)*k + 2^l]] =,tree[[2^(l+1)*k + 2^l]] ==
ID10979,Phone2 Category Type Theory C I Max E Φ Ball I Bin J - E Φ Ball I Bin K,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID10979"", <|""canonical"" -> ""c_i = Max[|E[Φ | ball i → bin j] - E[Φ | ball i → bin k]|]"", ""previousCandidate"" -> ""c$i == Max[|E[Phi | ball i -> bin j] - E[Phi | ball i -> bin k]|]"", ""rescueClass"" -> ""equation_candidate""|>]",c_i = Max[|E[Φ | ball i → bin j] - E[Φ | ball i → bin k]|],c$i == Max[|E[Phi | ball i -> bin j] - E[Phi | ball i -> bin k]|]
ID10984,Phone2 Category Type Theory InvariantPreservation I S I In C I,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"SetDelayed[InvariantPreservation, Phone2Predicate[""_i in C$i:""]]","InvariantPreservation := ∀ i, ∀ s_i in C_i:",InvariantPreservation := _i in C$i:
ID10998,Phone2 Category Type Theory N K K Morphisms IteratedTransformations,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID10998"", <|""canonical"" -> ""n == k_, k_Morphisms[IteratedTransformations]"", ""previousCandidate"" -> ""n == k_, k$Morphisms[IteratedTransformations]"", ""rescueClass"" -> ""equation_candidate""|>]","n == k_, k_Morphisms[IteratedTransformations]","n == k_, k$Morphisms[IteratedTransformations]"
ID10999,Phone2 Category Type Theory Morphisms Hom Thread I Thread J WorkPacket Τ Ij,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID10999"", <|""canonical"" -> ""Morphisms → Hom(Thread[i], Thread[j]) = WorkPacket[τ_ij],"", ""previousCandidate"" -> ""Morphisms -> Hom(Thread[i], Thread[j]) == WorkPacket[tau$ij]"", ""rescueClass"" -> ""equation_candidate""|>]","Morphisms → Hom(Thread[i], Thread[j]) = WorkPacket[τ_ij],","Morphisms -> Hom(Thread[i], Thread[j]) == WorkPacket[tau$ij]"
ID11000,Phone2 Category Type Theory Composition Async Hom J K Hom I J Hom I K,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Phone2Relation[Composition, ""@*_async: Hom(j,k) CircleTimes$CirclePlus Hom(i,j) -> Hom(i,k)""]","Composition → ∘_async: Hom(j,k) ⊗_⊕ Hom(i,j) → Hom(i,k)","Composition -> @*_async: Hom(j,k) CircleTimes$CirclePlus Hom(i,j) -> Hom(i,k)"
ID11003,Phone2 Category Type Theory B Bottom,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11003"", <|""canonical"" -> ""{b = bottom"", ""previousCandidate"" -> ""{b == bottom"", ""rescueClass"" -> ""fragment_carrier""|>]",{b = bottom,{b == bottom
ID11004,Phone2 Category Type Theory Get T Top,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID11004"", <|""canonical"" -> ""get[], t = top"", ""previousCandidate"" -> ""get[], t == top"", ""rescueClass"" -> ""equation_candidate""|>]","get[], t = top","get[], t == top"
ID11005,Phone2 Category Type Theory decrementAndGet T Top,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID11005"", <|""canonical"" -> ""decrementAndGet[], t = top"", ""previousCandidate"" -> ""decrementAndGet[], t == top"", ""rescueClass"" -> ""equation_candidate""|>]","decrementAndGet[], t = top","decrementAndGet[], t == top"
ID11006,Phone2 Category Type Theory T Top,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11006"", <|""canonical"" -> ""{t = top"", ""previousCandidate"" -> ""{t == top"", ""rescueClass"" -> ""fragment_carrier""|>]",{t = top,{t == top
ID11007,Phone2 Category Type Theory Get B Bottom,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID11007"", <|""canonical"" -> ""get[], b = bottom"", ""previousCandidate"" -> ""get[], b == bottom"", ""rescueClass"" -> ""equation_candidate""|>]","get[], b = bottom","get[], b == bottom"
ID11009,Phone2 Category Type Theory G C C C Threads C,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,g[C] == Union_{c in C} Threads(c),"g[C] = ⋃_{c ∈ C} Threads(c),",g[C] == ⋃_{c ∈ C} Threads(c)
ID11014,Phone2 Category Type Theory LocalCorrectness Thread I,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"SetDelayed[LocalCorrectness, Phone2Predicate[""_i:""]]",LocalCorrectness := ∀ thread_i:,LocalCorrectness := _i:
ID11016,Phone2 Category Type Theory Push I Task,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11016"", <|""canonical"" -> ""Push[i, task] =="", ""previousCandidate"" -> ""Push[i, task] =="", ""rescueClass"" -> ""fragment_carrier""|>]","Push[i, task] ==","Push[i, task] =="
ID11019,Phone2 Category Type Theory Steal I J,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11019"", <|""canonical"" -> ""Steal[i, j] =="", ""previousCandidate"" -> ""Steal[i, j] =="", ""rescueClass"" -> ""fragment_carrier""|>]","Steal[i, j] ==","Steal[i, j] =="
ID11034,Phone2 Category Type Theory SplitArchitectureFunctorialityTheorem,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11034"", <|""canonical"" -> ""SplitArchitectureFunctorialityTheorem :="", ""previousCandidate"" -> ""SplitArchitectureFunctorialityTheorem :="", ""rescueClass"" -> ""fragment_carrier""|>]",SplitArchitectureFunctorialityTheorem :=,SplitArchitectureFunctorialityTheorem :=
ID11046,Phone2 Category Type Theory Neuron Neuron,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11046"", <|""canonical"" -> ""{neuronᵢ, neuronⱼ} →"", ""previousCandidate"" -> ""{neuronᵢ, neuronⱼ} ->"", ""rescueClass"" -> ""fragment_carrier""|>]","{neuronᵢ, neuronⱼ} →","{neuronᵢ, neuronⱼ} ->"
ID11049,Phone2 Category Type Theory I,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"Rule[i, Phone2Expression[""<|""]]",i → <|,i -> <|
ID11115,Phone2 Category Type Theory Eigenvalues Measurement,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID11115"", <|""canonical"" -> ""Eigenvalues[measurement] →"", ""previousCandidate"" -> ""Eigenvalues[measurement] ->"", ""rescueClass"" -> ""fragment_carrier""|>]",Eigenvalues[measurement] →,Eigenvalues[measurement] ->
