id,title,status,message,wolfram_candidate,canonical_equation
ID10872,Phone2 Category Type Theory Sum X I C C 1 NumCores 1 I,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"Sum[x[i,c], {c, 1, NumCores}] == 1","Sum[x[i,c], {c, 1, NumCores}] == 1, ∀i,"
ID10874,Phone2 Category Type Theory Sum X I C I 1 NumThreads ThreadsPerCore C,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"Sum[x[i,c], {i, 1, NumThreads}] <= ThreadsPerCore","Sum[x[i,c], {i, 1, NumThreads}] <= ThreadsPerCore, ∀c,"
ID10877,Phone2 Category Type Theory Φ Load Sum Load I 2 I 1 P Minimize Variance,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"Phi[load_] := Sum[load[i]^2, {i, 1, p}]","Φ[load_] := Sum[load[i]^2, {i, 1, p}], (* Minimize variance *)"
ID10880,Phone2 Category Type Theory Sum riemannTensor K I K J K 1 3,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"Sum[riemannTensor[[k, i, k, j]], {k, 1, 3}]","Sum[riemannTensor[[k, i, k, j]], {k, 1, 3}],"
ID10883,Phone2 Category Type Theory EntanglementRange Quantity 5 Millimeters,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""EntanglementRange"" -> Quantity[5, ""Millimeters""]","""EntanglementRange"" → Quantity[5, ""Millimeters""],"
ID10884,Phone2 Category Type Theory Lim Hbar To 0 Left Langle Hat O Text Quantum Right R,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,Limit OHat_{quantum} _{psi} == O_{classical}^{DAANSsphere},\lim_{\hbar \to 0} \left\langle \hat{O}_{\text{quantum}} \right\rangle_{\psi} = O_{\text{classical}}^{\text{DAANSsphere}}
ID10885,Phone2 Category Type Theory TimeLimit 100ms,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,TimeLimit -> 100ms,TimeLimit → 100ms
ID10886,Phone2 Category Type Theory Sum P Ρ K/k K 0 P-1 + P Ρ P/ P 1-ρ,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"Sum[(p*rho)^k/k!, {k, 0, p-1}] + (p*rho)^p/(p!*(1-rho))","Sum[(p*ρ)^k/k!, {k, 0, p-1}] + (p*ρ)^p/(p!(1-ρ)),"
ID10896,Phone2 Category Type Theory W P Solve E P E Target W 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"W[p] = Solve[E[p] == E$target, W][[1]]","W[p] = Solve[E[p] == E_target, W][[1]]"
ID10898,Phone2 Category Type Theory N 1000 Ε T/N Paths,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"{N == 1000, ε = T/N, paths}","{N = 1000, ε = T/N, paths},"
ID10899,Phone2 Category Type Theory ClassicalBit If sphereIndex 76800 1 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""ClassicalBit"" -> If[sphereIndex <= 76800, 1, 0]","""ClassicalBit"" → If[sphereIndex ≤ 76800, 1, 0]"
ID10900,Phone2 Category Type Theory Text PathComplexity Text Entangled O Left Sqrt Frac,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,PathComplexity_{entangled} == O(Sqrt[(N)/(76800)]) < PathComplexity_{classical} = O(N),\text{PathComplexity}_{\text{entangled}} = O\left(\sqrt{\frac{N}{76800}}\right) < \text{PathComplexity}_{\text{classical}} = O(N)
ID10902,Phone2 Category Type Theory Μ Id Id Δ Δ Μ Id Μ Δ Id,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,(mu CircleTimes Id) @* (Id CircleTimes Δ) == Δ @* mu == (Id CircleTimes mu) @* (Δ CircleTimes Id),(μ ⊗ Id) ∘ (Id ⊗ Δ) == Δ ∘ μ == (Id ⊗ μ) ∘ (Δ ⊗ Id)
ID10904,Phone2 Category Type Theory Variables X I C 0 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"Variables -> x[i,c] ∈ {0,1}","Variables → x[i,c] ∈ {0,1}"
ID10905,Phone2 Category Type Theory ChunkSize Mod CacheLineSize 0 Alignment,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,ChunkSize mod CacheLineSize == 0,"ChunkSize mod CacheLineSize == 0, (* Alignment *)"
ID10906,Phone2 Category Type Theory N Length Input Levels Log2 N Tree Sweep,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"{n == Length[input], levels = Log2[n], tree, sweep}","{n = Length[input], levels = Log2[n], tree, sweep},"
ID10908,Phone2 Category Type Theory ReflectionFunctor Origin BaryCenter S 2,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,ReflectionFunctor[origin -> BaryCenter[S^2]],"ReflectionFunctor[origin → BaryCenter[S^2]],"
ID10909,Phone2 Category Type Theory Enrichment SymmetricMonoidalCategory /2 -Mod,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,Enrichment -> SymmetricMonoidalCategory[ℤ/2ℤ-Mod],"Enrichment → SymmetricMonoidalCategory[ℤ/2ℤ-Mod],"
ID10911,Phone2 Category Type Theory hilbertSpace TensorProduct 10 11 10 Neurons,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,hilbertSpace == TensorProduct[CircleTimesᵢ₌1^{10^11} ℂ^2],"hilbertSpace = TensorProduct[⊗ᵢ₌₁^{10^11} ℂ²], (* 10¹¹ neurons *)"
ID10912,Phone2 Category Type Theory sphereManifold FibonacciSphere 153600,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,sphereManifold == FibonacciSphere[153600],"sphereManifold = FibonacciSphere[153600],"
ID10914,Phone2 Category Type Theory sphereAxis Mod I 153600 + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"sphereAxis == Mod[i, 153600] + 1","sphereAxis = Mod[i, 153600] + 1,"
ID10915,Phone2 Category Type Theory Antipodal 153601 - sphereAxis,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,antipodal == 153601 - sphereAxis,"antipodal = 153601 - sphereAxis,"
ID10916,Phone2 Category Type Theory hierarchyLevel Floor Log 10 I + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"hierarchyLevel == Floor[Log[10, i + 1]]","hierarchyLevel = Floor[Log[10, i + 1]]"
ID10918,Phone2 Category Type Theory Φ 2π i/GoldenRatio,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,phi == 2Pi i/GoldenRatio,"φ = 2π i/GoldenRatio,"
ID10919,Phone2 Category Type Theory Z 1 - 2u,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,z == 1 - 2u,"z = 1 - 2u,"
ID10920,Phone2 Category Type Theory R 1 - Z,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,r == Sqrt(1 - z^2),r = √(1 - z²)
ID10922,Phone2 Category Type Theory sphereMetric DiagonalMatrix 1 Sin Θ 1 S Metric,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"sphereMetric == DiagonalMatrix[{1, Sin[theta]^2, 1}]","sphereMetric = DiagonalMatrix[{1, Sin[θ]², 1}], (* S² metric *)"
ID10923,Phone2 Category Type Theory sphereIndex Mod Hash Point SHA256 153600 + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"sphereIndex == Mod[Hash[point, ""SHA256""], 153600] + 1","sphereIndex = Mod[Hash[point, ""SHA256""], 153600] + 1"
ID10924,Phone2 Category Type Theory hierarchyLevel Floor Log 10 Norm Point + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"hierarchyLevel == Floor[Log[10, Norm[point] + 1]]","hierarchyLevel = Floor[Log[10, Norm[point] + 1]]"
ID10926,Phone2 Category Type Theory T Depth Α Log U/ 1-u,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,t$depth == alpha Log[u/(1-u)],t_depth = α Log[u/(1-u)]
ID10927,Phone2 Category Type Theory EntangledAxis 153601 - sphereIndex,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""EntangledAxis"" -> 153601 - sphereIndex","""EntangledAxis"" → 153601 - sphereIndex,"
ID10928,Phone2 Category Type Theory dW kB T/ RandomVariate NormalDistribution 0 Dt,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"dW == Sqrt(kB T/hbar) RandomVariate[NormalDistribution[0, dt]]","dW = √(kB T/ħ) RandomVariate[NormalDistribution[0, dt]]"
ID10929,Phone2 Category Type Theory Landscape T Max 0 Min T - Birth Death - T,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"landscape[t_] := Max[0, Min[t - birth, death - t]]","landscape[t_] := Max[0, Min[t - birth, death - t]]"
ID10931,Phone2 Category Type Theory TopologicalComplexity Total Map 2 - 1 persistenceDia,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""TopologicalComplexity"" -> Total[Map[(#[[2]] - #[[1]])^2 &, persistenceDiagram]]","""TopologicalComplexity"" → Total[Map[(#[[2]] - #[[1]])² &, persistenceDiagram]]"
ID10934,Phone2 Category Type Theory ElectrodeArray 1024 Channels 96 Threads,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""ElectrodeArray"" -> ""1024 channels * 96 threads""","""ElectrodeArray"" → ""1024 channels × 96 threads"","
ID10935,Phone2 Category Type Theory SamplingRate Quantity 30000 Hertz,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""SamplingRate"" -> Quantity[30000, ""Hertz""]","""SamplingRate"" → Quantity[30000, ""Hertz""],"
ID10936,Phone2 Category Type Theory BitDepth 10 10-bit ADC,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""BitDepth"" -> 10","""BitDepth"" → 10, (* 10-bit ADC *)"
ID10937,Phone2 Category Type Theory SpatialResolution Quantity 50 Micrometers,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""SpatialResolution"" -> Quantity[50, ""Micrometers""]","""SpatialResolution"" → Quantity[50, ""Micrometers""],"
ID10940,Phone2 Category Type Theory entangledPartner 153601 - sphereCoordinate,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,entangledPartner == 153601 - sphereCoordinate,"entangledPartner = 153601 - sphereCoordinate,"
ID10941,Phone2 Category Type Theory SphereAxis Mod Hash nextNeuron 153600 + 1,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""SphereAxis"" -> Mod[Hash[nextNeuron], 153600] + 1","""SphereAxis"" → Mod[Hash[nextNeuron], 153600] + 1,"
ID10942,Phone2 Category Type Theory EntangledAxis 153601 - Mod Hash nextNeuron 153600,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""EntangledAxis"" -> 153601 - Mod[Hash[nextNeuron], 153600]","""EntangledAxis"" → 153601 - Mod[Hash[nextNeuron], 153600],"
ID10945,Phone2 Category Type Theory SpatialAccuracy Quantity 10 Micrometers,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""SpatialAccuracy"" -> Quantity[10, ""Micrometers""]","""SpatialAccuracy"" → Quantity[10, ""Micrometers""],"
ID10946,Phone2 Category Type Theory SimultaneousChannels 76800 Antipodal Pairs,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""SimultaneousChannels"" -> 76800","""SimultaneousChannels"" → 76800, (* Antipodal pairs *)"
ID10947,Phone2 Category Type Theory InformationCapacity Quantity Log2 153600 30000 Bits,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"""InformationCapacity"" -> Quantity[Log2[153600] * 30000, ""Bits""/""Second""]","""InformationCapacity"" → Quantity[Log2[153600] * 30000, ""Bits""/""Second""]"
ID10948,Phone2 Category Type Theory Pivot Floor Length Deque /2,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,pivot == Floor[Length[deque]/2],pivot = Floor[Length[deque]/2]
ID10949,Phone2 Category Type Theory Top AtomicInteger 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,top == AtomicInteger[0],"top = AtomicInteger[0],"
ID10950,Phone2 Category Type Theory Bottom AtomicInteger 0,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,bottom == AtomicInteger[0],"bottom = AtomicInteger[0],"
ID10952,Phone2 Category Type Theory Task Array,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,task == array,task = array
ID10958,Phone2 Category Type Theory C N2 N/2,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"{C, n2 == n/2}","{C, n2 = n/2},"
ID10959,Phone2 Category Type Theory A11 A12 A21 A22 Quadrants A,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,"{A11, A12, A21, A22} == Quadrants[A]","{A11, A12, A21, A22} = Quadrants[A]"
