queue_index,source,id,name,kind,obligation_role,semantic_anchor_id,source_file,line,translation_status,translation_class,duplicate_source_id_name
1,master_registry,ID0137,Megastructure Formation Theorem,Theorem,Needs_Semantic_Translation,,,,batch001_started,first_master_registry_segment,no
2,master_registry,ID0234,Helicity Topology Invariant,Theorem,Derived_Theorem_Obligation,,,,batch001_started,first_master_registry_segment,no
3,master_registry,ID0399,Information Conservation and Holographic Preservation,Theorem,,,,,batch001_started,first_master_registry_segment,no
4,master_registry,ID0522,The Unified Entanglement Meta-Theorem,Theorem,Derived_Theorem_Obligation,,,,batch001_started,first_master_registry_segment,no
5,master_registry,ID1007,TuT Identity Bridge Operator,Theorem,,,,,batch001_started,first_master_registry_segment,no
6,master_registry,ID1009,Vibration Coordinate Tensor,Theorem,,,,,batch001_started,first_master_registry_segment,no
7,master_registry,ID1010,Recursive Symbolic Cascade,Theorem,,,,,batch001_started,first_master_registry_segment,no
8,master_registry,ID1014,Tzp Fractal Modulation Index,Theorem,Derived_Theorem_Obligation,,,,batch001_started,first_master_registry_segment,no
9,master_registry,ID1024,Fractal Embedding Operator,Theorem,,,,,batch001_started,first_master_registry_segment,no
10,master_registry,ID1025,Vibrational Glyphic Time Delay,Theorem,,,,,batch001_started,first_master_registry_segment,no
11,master_registry,ID1204,Configuration Force Bundle,Theorem,,,,,batch001_started,first_master_registry_segment,no
12,master_registry,ID1585,EID_0328 Helicity Coupling Source,Theorem,,,,,batch001_started,first_master_registry_segment,no
13,master_registry,ID1693,Configuration Force Bundle,Theorem,,,,,batch001_started,first_master_registry_segment,no
14,master_registry,ID1829,Sound as the Bridge,Theorem,,,,,batch001_started,first_master_registry_segment,no
15,master_registry,ID1845,Azimuthal Quantum Communication,Theorem,,,,,batch001_started,first_master_registry_segment,no
16,master_registry,ID1918,EID_0328 Helicity Coupling Source,Theorem,,,,,batch001_started,first_master_registry_segment,no
17,master_registry,ID1924,EID_0522 Hamiltonian Operator Source,Theorem,,,,,batch001_started,first_master_registry_segment,no
18,master_registry,ID2045,Azimuthal Quantum Communication,Theorem,,,,,batch001_started,first_master_registry_segment,no
19,master_registry,ID2306,Helicity Topology Invariant,Theorem,,,,,batch001_started,first_master_registry_segment,no
20,master_registry,ID2730,P 7.jpg P 7,Theorem,,,,,batch001_started,first_master_registry_segment,no
21,master_registry,ID2741,P 8.jpg P 8,Theorem,,,,,batch001_started,first_master_registry_segment,no
22,master_registry,ID2916,Kaluza–Klein Mode (Fourier) Expansion,Theorem,,,,,batch001_started,first_master_registry_segment,no
23,master_registry,ID2990,Kaluza–Klein Mode (Fourier) Expansion,Theorem,,,,,batch001_started,first_master_registry_segment,no
24,master_registry,ID2991,Kaluza–Klein Mode Wave Equation,Theorem,,,,,batch001_started,first_master_registry_segment,no
25,master_registry,ID2992,Kaluza–Klein Tower Frequency Spectrum,Theorem,,,,,batch001_started,first_master_registry_segment,no
26,master_registry,ID3286,Magnetic Helicity Functional Correction,Theorem,Core_Definition,,,,batch002_started,spectral_helicity_kk_segment,no
27,master_registry,ID3287,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
28,master_registry,ID3288,Modal Frequency Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
29,master_registry,ID3289,Hopf State Harmonic Expansion,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
30,master_registry,ID3303,Gyromagnetic Eigenvalue,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
31,master_registry,ID3305,Magnetic Field,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
32,master_registry,ID3312,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
33,master_registry,ID3314,Kaluza-Klein Magnetic Flux Expansion,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
34,master_registry,ID3315,Kaluza-Klein Magnetic Field,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
35,master_registry,ID3316,Kaluza-Klein Pi Scaling Law,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
36,master_registry,ID3317,Resonance Kaluza-Klein Eigenvalue,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
37,master_registry,ID3378,Modal Frequency Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
38,master_registry,ID3606,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
39,master_registry,ID3613,Modal Frequency Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
40,master_registry,ID3616,Kaluza-Klein Magnetic Flux Expansion,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
41,master_registry,ID3617,Appears as Massive Field,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
42,master_registry,ID3642,Greens Function Functional,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
43,master_registry,ID3650,Acoustic Kaluza-Klein Hamiltonian,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
44,master_registry,ID3651,Grav Hamiltonian,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
45,master_registry,ID3653,Wavefunction Evolution Equation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
46,master_registry,ID3654,Connection Functional,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
47,master_registry,ID3662,Recon Quantum State Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
48,master_registry,ID3663,Recon Hamiltonian,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
49,master_registry,ID3668,Stress-Energy Tensor,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
50,master_registry,ID3677,Planck System Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
51,master_registry,ID3716,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
52,master_registry,ID3872,Field Phys Spec Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
53,master_registry,ID3888,Kaluza-Klein Partition Function Bound,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
54,master_registry,ID4191,Pressure Scaling Law,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
55,master_registry,ID4195,Potential Energy Relation,Theorem,,,,,batch002_started,spectral_helicity_kk_segment,no
56,master_registry,ID4201,Rho Dark Apparent Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
57,master_registry,ID4202,Eigenvalue,Theorem,,,,,batch006_started,operator_spectral_segment,no
58,master_registry,ID4206,Solar Laplacian Operator,Theorem,,,,,batch012_started,operator_spectral_followup_segment,no
59,master_registry,ID4213,Breathing Mode Frequency Relation,Theorem,,,,,batch006_started,operator_spectral_segment,no
60,master_registry,ID4214,Density,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
61,master_registry,ID4215,Magnetic Helicity Functional Correction,Theorem,,,,,batch005_started,topology_vector_segment,no
62,master_registry,ID4216,Sideband Pi Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
63,master_registry,ID4217,Chemical Potential Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
64,master_registry,ID4223,Irrotational Magnetic Field Curl Field Equation,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
65,master_registry,ID4224,Magnetic Field,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
66,master_registry,ID4225,Delta Scaling Law,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
67,master_registry,ID4229,Dark Magnetic Flux Expansion,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
68,master_registry,ID4231,Alfvn Alfven Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
69,master_registry,ID4233,Chern Magnetic Field Curl Field Equation,Theorem,,,,,batch005_started,topology_vector_segment,no
70,master_registry,ID4252,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch005_started,topology_vector_segment,no
71,master_registry,ID4256,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch005_started,topology_vector_segment,no
72,master_registry,ID4363,Quadrupole Magnetic Field,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
73,master_registry,ID4698,Gyromagnetic Berry Phase,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
74,master_registry,ID4700,Text Magnetic Flux Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
75,master_registry,ID4708,Magnetic Helicity Evolution Evolution Relation,Theorem,,,,,batch005_started,topology_vector_segment,no
76,master_registry,ID4710,Kaluza-Klein Magnetic Flux Expansion,Theorem,,,,,batch006_started,operator_spectral_segment,no
77,master_registry,ID4711,Kaluza-Klein Curvature Relation,Theorem,,,,,batch006_started,operator_spectral_segment,no
78,master_registry,ID4713,Modal Frequency Relation,Theorem,,,,,batch006_started,operator_spectral_segment,no
79,master_registry,ID5737,Tunnel Quantum Pressure Expansion,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
80,master_registry,ID5738,Topological Quantum Storage Paper Equation,Theorem,,,,,batch005_started,topology_vector_segment,no
81,master_registry,ID5743,Hamiltonian,Theorem,,,,,batch006_started,operator_spectral_segment,no
82,master_registry,ID5744,Hamiltonian Evolution Equation,Theorem,,,,,batch006_started,operator_spectral_segment,no
83,master_registry,ID5751,Helix Action Bound,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
84,master_registry,ID5797,Pressure Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
85,master_registry,ID5802,Torsion Evolution Equation,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
86,master_registry,ID5803,Pattern Torsion Functional,Theorem,,,,,batch011_started,magnetic_torsion_segment,no
87,master_registry,ID5806,Kaluza-Klein Pi Bound,Theorem,,,,,batch006_started,operator_spectral_segment,no
88,master_registry,ID5812,North Hamiltonian,Theorem,,,,,batch006_started,operator_spectral_segment,no
89,master_registry,ID5813,Cent Field Strength Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
90,master_registry,ID5992,Torsion Scaling Law,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
91,master_registry,ID6000,Phase Angle Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
92,master_registry,ID6053,Eigenvalue,Theorem,,,,,batch006_started,operator_spectral_segment,no
93,master_registry,ID6092,Energy Relation,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
94,master_registry,ID6488,III. Helicity Transfer Reversal (Theorem Inversion) (1),Theorem,,,,,batch005_started,topology_vector_segment,no
95,master_registry,ID7754,III. Helicity Transfer Reversal (Theorem Inversion) (2),Theorem,,,,,batch005_started,topology_vector_segment,no
96,master_registry,ID8520,TIDAL WAVELENGTH QUANTIZATION Canonical Statutory Formula: λ_tidal,Theorem,,,,,batch012_started,operator_spectral_followup_segment,no
97,master_registry,ID8521,SEMIDIURNAL BEAT FREQUENCY Canonical Statutory Formula: ω_beat,Theorem,,,,,batch006_started,operator_spectral_segment,no
98,master_registry,ID8522,DIPOLE TOPOLOGICAL CONSTRAINT Canonical Statutory Formula,Theorem,,,,,batch005_started,topology_vector_segment,no
99,master_registry,ID8523,MACROSCOPIC FLUX QUANTIZATION Canonical Statutory Formula: Φ_mag,Theorem,,,,,batch005_started,topology_vector_segment,no
100,master_registry,ID9004,Relation: Q_T in Z,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
101,master_registry,ID9005,"Relation: H^3(M, U(1)) Neq 0",Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
102,master_registry,ID9157,"Relation: R_universe / N, Where R_universe Is the Hubble Radius. for N of Order Unity",Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
103,master_registry,ID9291,Relation: τdecoherence/(kBT)τ_decoherence,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
104,master_registry,ID9529,Infinite-Order Phase Transition: R → r_TZP,Theorem,,,,,batch015_started,emergence_bifurcation_followup_segment,no
105,master_registry,ID9595,4D Effective Theory Each Mode $Phin$ Appears as Massive Field: R_KK ∼ 10^-6,Theorem,,,,,batch012_started,operator_spectral_followup_segment,no
106,master_registry,ID9618,Relation: ε: ε_encode Circ δ_decode Rightarrow Id_DAAN,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
107,master_registry,ID9619,Relation: η: Id_Blob Rightarrow δ_decode Circ ε_encode,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
108,master_registry,ID9633,Relation: ⟨ ε_encode Dashv δ_decode ⟩,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
109,master_registry,ID9656,"Relation: S^3 xrightarrowπ S^2, π^-1(p) Cong S^1",Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
110,master_registry,ID9827,"Relation: Exp[-π , N_kissing]",Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
111,master_registry,ID9887,Relation: O(n^π-3),Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
112,master_registry,ID9902,"Relation: π,Δ_topological/N_max",Theorem,,,,,batch005_started,topology_vector_segment,no
113,master_registry,ID9931,"Relation: Ω[T^2 × T^2, π, DAAN]",Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
114,master_registry,ID9973,Spectral Inversion Theory: S_obs(ω),Theorem,,,,,batch012_started,operator_spectral_followup_segment,no
115,master_registry,ID9989,Toroidal Boundary Condition: ∫∫_T^2 K DA,Theorem,,,,,batch003_started,candidate_real_algebra_segment,no
116,master_registry,ID9990,Topological Constraints: ∫∫_Σ K DA + ∫_∂Σ κ_g Ds,Theorem,,,,,batch005_started,topology_vector_segment,no
117,proof_obligations,ID0000,lemma trawinisticmanifold: sorry theorem trawinisticmanifold : Prop Theorem trawinisticmanifold :,Theorem,Needs_Semantic_Translation,ID0000,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,234,batch008_started,geometry_manifold_segment,no
118,proof_obligations,ID0017,lemma tzptopologicalcharge: sorry theorem tzptopologicalcharge : Theorem tzptopologicalcharge :,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2180,batch005_started,topology_vector_segment,no
119,proof_obligations,ID0002,lemma manifoldcurvature: sorry theorem manifoldcurvature : Prop Theorem manifoldcurvature : Prop.,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1457,batch008_started,geometry_manifold_segment,no
120,proof_obligations,ID0016,lemma tzpcurvaturesingularity: theorem tzpcurvaturesingularity : Theorem tzpcurvaturesingularity :,Theorem,Needs_Semantic_Translation,ID0016,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1931,batch008_started,geometry_manifold_segment,no
121,proof_obligations,ID0044,lemma gyromagneticcoupling: sorry theorem gyromagneticcoupling : Theorem gyromagneticcoupling :,Theorem,Needs_Semantic_Translation,ID0044,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3840,phase2_already_started,existing_phase2_family,no
122,proof_obligations,ID0020,lemma trawinisticwindingnumber: theorem trawinisticwindingnumber : Theorem trawinisticwindingnumber :,Theorem,Needs_Semantic_Translation,ID0020,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1771,batch008_started,geometry_manifold_segment,no
123,proof_obligations,ID0006,lemma tzpvacuumenergydensity: theorem tzpvacuumenergydensity : Theorem tzpvacuumenergydensity :,Theorem,Needs_Semantic_Translation,ID0006,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2090,batch004_started,remaining_candidate_real_algebra,no
124,proof_obligations,ID0032,lemma leastactiontzp: sorry theorem leastactiontzp : Prop := Theorem leastactiontzp : Prop.,Theorem,Needs_Semantic_Translation,ID0032,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2848,batch008_started,geometry_manifold_segment,no
125,proof_obligations,ID0041,lemma helicityscaleconstraint: theorem helicityscaleconstraint : Theorem helicityscaleconstraint :,Theorem,Needs_Semantic_Translation,ID0041,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3592,batch005_started,topology_vector_segment,no
126,proof_obligations,ID0065,lemma topologicalquantumstates: theorem topologicalquantumstates : Theorem topologicalquantumstates :,Theorem,Needs_Semantic_Translation,ID0065,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5600,batch005_started,topology_vector_segment,no
127,proof_obligations,ID0030,lemma tzposcillator: sorry theorem tzposcillator : Prop := by Theorem tzposcillator : Prop.,Theorem,Needs_Semantic_Translation,ID0030,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4464,batch009_started,dynamics_scaling_segment,no
128,proof_obligations,ID0000,lemma tzpstability: sorry theorem tzpstability : Prop := by Theorem tzpstability : Prop.,Theorem,Needs_Semantic_Translation,ID0000,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,535,batch009_started,dynamics_scaling_segment,no
129,proof_obligations,ID0065,lemma quantuminformationunits: theorem quantuminformationunits : Theorem quantuminformationunits :,Theorem,Needs_Semantic_Translation,ID0065,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5833,batch007_started,quantum_open_system_segment,no
130,proof_obligations,ID0002,lemma causalloopinvariant: sorry theorem causalloopinvariant : Theorem causalloopinvariant :,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1034,batch008_started,geometry_manifold_segment,no
131,proof_obligations,ID0017,lemma fieldequationstrawinistic: theorem fieldequationstrawinistic Theorem fieldequationstrawinistic,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2934,batch008_started,geometry_manifold_segment,no
132,proof_obligations,ID0004,lemma stochasticdriftmagnitude: theorem stochasticdriftmagnitude : Theorem stochasticdriftmagnitude :,Theorem,Needs_Semantic_Translation,ID0004,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,955,batch009_started,dynamics_scaling_segment,no
133,proof_obligations,ID0002,lemma trawinbaseunit: sorry theorem trawinbaseunit : Prop := Theorem trawinbaseunit : Prop.,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,620,batch010_started,meta_foundation_segment,no
134,proof_obligations,ID0006,lemma spectraldensityindex: sorry theorem spectraldensityindex : Theorem spectraldensityindex :,Theorem,Needs_Semantic_Translation,ID0006,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1376,batch006_started,operator_spectral_segment,no
135,proof_obligations,ID9999,Symmetry-fixed bifurcation criterion for the Trawin Zero Point,Theorem,Derived_Theorem_Obligation,ID9999,D:\Tex\TRAWIN.tex,206,batch015_started,emergence_bifurcation_followup_segment,no
136,proof_obligations,ID0170,lemma cymatic_topological_control: theorem cymatic_topological_control Theorem cymatic_topological_control,Theorem,Needs_Semantic_Translation,ID0170,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6298,batch005_started,topology_vector_segment,no
137,proof_obligations,ID0020,lemma trawincharacteristicclass: theorem trawincharacteristicclass Theorem trawincharacteristicclass,Theorem,Needs_Semantic_Translation,ID0020,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1853,batch008_started,geometry_manifold_segment,no
138,proof_obligations,ID0038,lemma elsasseruniversality: sorry theorem elsasseruniversality : Theorem elsasseruniversality :,Theorem,Needs_Semantic_Translation,ID0038,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3437,phase2_already_started,existing_phase2_family,no
139,proof_obligations,ID0004,lemma nonlinearityconstant: sorry theorem nonlinearityconstant : Theorem nonlinearityconstant :,Theorem,Needs_Semantic_Translation,ID0004,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,795,batch009_started,dynamics_scaling_segment,no
140,proof_obligations,ID0017,lemma trawinisticlaplacian: sorry theorem trawinisticlaplacian : Theorem trawinisticlaplacian :,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1607,batch008_started,geometry_manifold_segment,no
141,proof_obligations,ID0017,lemma curvedquantumfields: sorry theorem curvedquantumfields : Theorem curvedquantumfields :,Theorem,Needs_Semantic_Translation,ID0017,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4228,batch007_started,quantum_open_system_segment,no
142,proof_obligations,ID0002,lemma dimensionalambiguity: sorry theorem dimensionalambiguity : Theorem dimensionalambiguity :,Theorem,Needs_Semantic_Translation,ID0002,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,387,batch008_started,geometry_manifold_segment,no
143,proof_obligations,ID0003,lemma hyperdimensionalspan: sorry theorem hyperdimensionalspan : Theorem hyperdimensionalspan :,Theorem,Needs_Semantic_Translation,ID0003,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,881,batch008_started,geometry_manifold_segment,no
144,proof_obligations,ID0040,lemma helicityquantisation: sorry theorem helicityquantisation : Theorem helicityquantisation :,Theorem,Needs_Semantic_Translation,ID0040,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3517,phase2_already_started,existing_phase2_family,no
145,proof_obligations,ID0032,lemma vacuumpolarization: sorry theorem vacuumpolarization : Prop Theorem vacuumpolarization : Prop.,Theorem,Needs_Semantic_Translation,ID0032,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4380,batch009_started,dynamics_scaling_segment,no
146,proof_obligations,ID0180,lemma 0181_proof: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0180,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7190,batch010_started,meta_foundation_segment,no
147,proof_obligations,ID0065,lemma multipartitenetworks: sorry theorem multipartitenetworks : Theorem multipartitenetworks :,Theorem,Needs_Semantic_Translation,ID0065,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5525,batch007_started,quantum_open_system_segment,no
148,proof_obligations,ID9999,TZP emergence as symmetry-fixed bifurcation of TRAWIN closure,Theorem,Derived_Theorem_Obligation,ID9999,D:\Tex\00_Canon_00_TRAWIN_definition.tex,256,batch015_started,emergence_bifurcation_followup_segment,no
149,proof_obligations,ID0054,lemma boundaryquantumeffects: theorem boundaryquantumeffects : Theorem boundaryquantumeffects :,Theorem,Needs_Semantic_Translation,ID0054,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4624,batch004_started,remaining_candidate_real_algebra,no
150,proof_obligations,ID0173,lemma curvature_and_field_strength: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0173,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,6586,batch008_started,geometry_manifold_segment,no
151,proof_obligations,ID0040,lemma magneticmomentscaling: theorem magneticmomentscaling : Theorem magneticmomentscaling :,Theorem,Needs_Semantic_Translation,ID0040,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3764,phase2_already_started,existing_phase2_family,no
152,proof_obligations,ID0063,lemma entanglementstructure: sorry theorem entanglementstructure : Theorem entanglementstructure :,Theorem,Needs_Semantic_Translation,ID0063,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5455,batch007_started,quantum_open_system_segment,no
153,proof_obligations,ID0062,lemma quantumchaosindicators: theorem quantumchaosindicators : Theorem quantumchaosindicators :,Theorem,Needs_Semantic_Translation,ID0062,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6506,batch007_started,quantum_open_system_segment,no
154,proof_obligations,ID0046,lemma runningphysicalconstants: theorem runningphysicalconstants : Theorem runningphysicalconstants :,Theorem,Needs_Semantic_Translation,ID0046,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4937,batch009_started,dynamics_scaling_segment,no
155,proof_obligations,ID0036,lemma zeropointfluctuations: theorem zeropointfluctuations : Theorem zeropointfluctuations :,Theorem,Needs_Semantic_Translation,ID0036,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4151,batch009_started,dynamics_scaling_segment,no
156,proof_obligations,ID0185,lemma 0186_proof: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0185,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7591,batch010_started,meta_foundation_segment,no
157,proof_obligations,ID0001,lemma temporaldisplacement: sorry theorem temporaldisplacement : Theorem temporaldisplacement :,Theorem,Needs_Semantic_Translation,ID0001,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,706,batch009_started,dynamics_scaling_segment,no
158,proof_obligations,ID0004,lemma nullspaceprojection: sorry theorem nullspaceprojection : Theorem nullspaceprojection :,Theorem,Needs_Semantic_Translation,ID0004,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1199,batch008_started,geometry_manifold_segment,no
159,proof_obligations,ID0080,lemma semiclassicallimits: sorry theorem semiclassicallimits : Prop Theorem semiclassicallimits :,Theorem,Needs_Semantic_Translation,ID0080,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6590,batch009_started,dynamics_scaling_segment,no
160,proof_obligations,ID0181,lemma 0182_proof: theorem Theorem,Theorem,Needs_Semantic_Translation,ID0181,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7275,batch010_started,meta_foundation_segment,no
